tupleid,attribute,value
869,city,HAMILTON
869,state,AL
869,zip code,35570
869,county name,MARION
869,phone number,2059216200
869,hospital type,Acute Care Hospitals
869,hospital owner,Voluntary non-profit - Private
869,emergency service,Yes
869,condition,Pneumonia
869,measure code,PN-7
869,measure name,Pneumonia Patients Assessed and Given Influenza Vaccination
869,score,91%
869,sample,85 patients
869,stateavg,AL_PN-7
870,provider number,10044
870,hospital name,MARION REGIONAL MEDICAL CENTER
870,address1,1256 MILITARY STREET SOUTH
870,address2,""
870,address3,""
870,city,HAMILTON
870,state,AL
870,zip code,35570
870,county name,MARION
870,phone number,2059216200
870,hospital type,Acute Care Hospitals
870,hospital owner,Voluntary non-profit - Private
870,emergency service,Yes
870,condition,Surgical Infection Prevention
870,measure code,SCIP-CARD-2
870,measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
870,score,67%
870,sample,3 patients
870,stateavg,AL_SCIP-CARD-2
871,provider number,10044
871,hospital name,MARION REGIONAL MEDICAL CENTER
871,address1,1256 MILITARY STREET SOUTH
871,address2,""
871,address3,""
871,city,HAMILTON
871,state,AL
871,zip code,35570
871,county name,MARION
871,phone number,2059216200
871,hospital type,Acute Care Hospitals
871,hospital owner,Voluntary non-profit - Private
871,emergency service,Yes
871,condition,Surgical Infection Prevention
871,measure code,SCIP-INF-1
871,measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
871,score,80%
871,sample,15 patients
871,stateavg,AL_SCIP-INF-1
872,provider number,10044
872,hospital name,MARION REGIONAL MEDICAL CENTER
872,address1,1256 MILITARY STREET SOUTH
872,address2,""
872,address3,""
872,city,HAMILTON
872,state,AL
872,zip code,35570
872,county name,MARION
872,phone number,2059216200
872,hospital type,Acute Care Hospitals
872,hospital owner,Voluntary non-profit - Private
872,emergency service,Yes
872,condition,Surgical Infection Prevention
872,measure code,SCIP-INF-2
872,measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection
872,score,87%
872,sample,15 patients
872,stateavg,AL_SCIP-INF-2
873,provider number,10044
873,hospital name,MARION REGIONAL MEDICAL CENTER
873,address1,1256 MILITARY STREET SOUTH
873,address2,""
873,address3,""
873,city,HAMILTON
873,state,AL
873,zip code,35570
873,county name,MARION
873,phone number,2059216200
873,hospital type,Acute Care Hospitals
873,hospital owner,Voluntary non-profit - Private
873,emergency service,Yes
873,condition,Surgical Infection Prevention
873,measure code,SCIP-INF-3
873,measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
873,score,87%
873,sample,15 patients
873,stateavg,AL_SCIP-INF-3
874,provider number,10044
874,hospital name,MARION REGIONAL MEDICAL CENTER
874,address1,1256 MILITARY STREET SOUTH
874,address2,""
874,address3,""
874,city,HAMILTON
874,state,AL
874,zip code,35570
874,county name,MARION
874,phone number,2059216200
874,hospital type,Acute Care Hospitals
874,hospital owner,Voluntary non-profit - Private
874,emergency service,Yes
874,condition,Surgical Infection Prevention
874,measure code,SCIP-INF-4
874,measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
874,score,""
874,sample,0 patients
874,stateavg,AL_SCIP-INF-4
875,provider number,10044
875,hospital name,MARION REGIONAL MEDICAL CENTER
875,address1,1256 MILITARY STREET SOUTH
875,address2,""
875,address3,""
875,city,HAMILTON
875,state,AL
875,zip code,35570
875,county name,MARION
875,phone number,2059216200
875,hospital type,Acute Care Hospitals
875,hospital owner,Voluntary non-profit - Private
875,emergency service,Yes
875,condition,Surgical Infection Prevention
875,measure code,SCIP-INF-6
875,measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
875,score,100%
875,sample,19 patients
875,stateavg,AL_SCIP-INF-6
876,provider number,10044
876,hospital name,MARION REGIONAL MEDICAL CENTER
876,address1,1256 MILITARY STREET SOUTH
876,address2,""
876,address3,""
876,city,HAMILTON
876,state,AL
876,zip code,35570
876,county name,MARION
876,phone number,2059216200
876,hospital type,Acute Care Hospitals
876,hospital owner,Voluntary non-profit - Private
876,emergency service,Yes
876,condition,Surgical Infection Prevention
876,measure code,SCIP-VTE-1
876,measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
876,score,100%
876,sample,4 patients
876,stateavg,AL_SCIP-VTE-1
877,provider number,10044
877,hospital name,MARION REGIONAL MEDICAL CENTER
877,address1,1256 MILITARY STREET SOUTH
877,address2,""
877,address3,""
877,city,HAMILTON
877,state,AL
877,zip code,35570
877,county name,MARION
877,phone number,2059216200
877,hospital type,Acute Care Hospitals
877,hospital owner,Voluntary non-profit - Private
877,emergency service,Yes
884,emergency service,Yes
877,condition,Surgical Infection Prevention
877,measure code,SCIP-VTE-2
877,measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
877,score,100%
877,sample,4 patients
877,stateavg,AL_SCIP-VTE-2
878,provider number,10045
878,hospital name,FAYETTE MEDICAL CENTER
878,address1,1653 TEMPLE AVENUE NORTH
878,address2,""
878,address3,""
878,city,FAYETTE
878,state,AL
878,zip code,35555
878,county name,FAYETTE
878,phone number,2059325966
878,hospital type,Acute Care Hospitals
878,hospital owner,Voluntary non-profit - Other
878,emergency service,Yes
878,condition,Heart Attack
878,measure code,AMI-1
878,measure name,Heart Attack Patients Given Aspirin at Arrival
878,score,100%
878,sample,18 patients
878,stateavg,AL_AMI-1
879,provider number,10045
879,hospital name,FAYETTE MEDICAL CENTER
879,address1,1653 TEMPLE AVENUE NORTH
879,address2,""
879,address3,""
879,city,FAYETTE
879,state,AL
879,zip code,35555
879,county name,FAYETTE
879,phone number,2059325966
879,hospital type,Acute Care Hospitals
879,hospital owner,Voluntary non-profit - Other
879,emergency service,Yes
879,condition,Heart Attack
879,measure code,AMI-2
879,measure name,Heart Attack Patients Given Aspirin at Discharge
879,score,100%
879,sample,12 patients
879,stateavg,AL_AMI-2
880,provider number,10045
880,hospital name,FAYETTE MEDICAL CENTER
880,address1,1653 TEMPLE AVENUE NORTH
880,address2,""
880,address3,""
880,city,FAYETTE
880,state,AL
880,zip code,35555
880,county name,FAYETTE
880,phone number,2059325966
880,hospital type,Acute Care Hospitals
880,hospital owner,Voluntary non-profit - Other
880,emergency service,Yes
880,condition,Heart Attack
880,measure code,AMI-3
880,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
880,score,0%
880,sample,1 patients
880,stateavg,AL_AMI-3
881,provider number,10045
881,hospital name,FAYETTE MEDICAL CENTER
881,address1,1653 TEMPLE AVENUE NORTH
881,address2,""
881,address3,""
881,city,FAYETTE
881,state,AL
881,zip code,35555
881,county name,FAYETTE
881,phone number,2059325966
881,hospital type,Acute Care Hospitals
881,hospital owner,Voluntary non-profit - Other
881,emergency service,Yes
881,condition,Heart Attack
881,measure code,AMI-4
881,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
881,score,100%
881,sample,1 patients
881,stateavg,AL_AMI-4
882,provider number,10045
882,hospital name,FAYETTE MEDICAL CENTER
882,address1,1653 TEMPLE AVENUE NORTH
882,address2,""
882,address3,""
882,city,FAYETTE
882,state,AL
882,zip code,35555
882,county name,FAYETTE
882,phone number,2059325966
882,hospital type,Acute Care Hospitals
882,hospital owner,Voluntary non-profit - Other
882,emergency service,Yes
882,condition,Heart Attack
882,measure code,AMI-5
882,measure name,Heart Attack Patients Given Beta Blocker at Discharge
882,score,82%
882,sample,11 patients
882,stateavg,AL_AMI-5
883,provider number,10045
883,hospital name,FAYETTE MEDICAL CENTER
883,address1,1653 TEMPLE AVENUE NORTH
883,address2,""
883,address3,""
883,city,FAYETTE
883,state,AL
883,zip code,35555
883,county name,FAYETTE
883,phone number,2059325966
883,hospital type,Acute Care Hospitals
883,hospital owner,Voluntary non-profit - Other
883,emergency service,Yes
883,condition,Heart Attack
883,measure code,AMI-7A
883,measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
883,score,""
883,sample,0 patients
883,stateavg,AL_AMI-7A
884,provider number,10045
884,hospital name,FAYETTE MEDICAL CENTER
884,address1,1653 TEMPLE AVENUE NORTH
884,address2,""
884,address3,""
884,city,FAYETTE
884,state,AL
884,zip code,35555
884,county name,FAYETTE
884,phone number,2059325966
884,hospital type,Acute Care Hospitals
884,hospital owner,Voluntary non-profit - Other
884,condition,Heart Attack
884,measure code,AMI-8A
884,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
884,score,""
884,sample,0 patients
884,stateavg,AL_AMI-8A
885,provider number,10045
885,hospital name,FAYETTE MEDICAL CENTER
885,address1,1653 TEMPLE AVENUE NORTH
885,address2,""
885,address3,""
885,city,FAYETTE
885,state,AL
885,zip code,35555
885,county name,FAYETTE
885,phone number,2059325966
885,hospital type,Acute Care Hospitals
885,hospital owner,Voluntary non-profit - Other
885,emergency service,Yes
885,condition,Heart Failure
885,measure code,HF-1
885,measure name,Heart Failure Patients Given Discharge Instructions
885,score,87%
885,sample,67 patients
885,stateavg,AL_HF-1
886,provider number,10045
886,hospital name,FAYETTE MEDICAL CENTER
886,address1,1653 TEMPLE AVENUE NORTH
886,address2,""
886,address3,""
886,city,FAYETTE
886,state,AL
886,zip code,35555
886,county name,FAYETTE
886,phone number,2059325966
886,hospital type,Acute Care Hospitals
886,hospital owner,Voluntary non-profit - Other
886,emergency service,Yes
886,condition,Heart Failure
886,measure code,HF-2
886,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
886,score,94%
886,sample,85 patients
886,stateavg,AL_HF-2
887,provider number,10045
887,hospital name,FAYETTE MEDICAL CENTER
887,address1,1653 TEMPLE AVENUE NORTH
887,address2,""
887,address3,""
887,city,FAYETTE
887,state,AL
887,zip code,35555
887,county name,FAYETTE
887,phone number,2059325966
887,hospital type,Acute Care Hospitals
887,hospital owner,Voluntary non-profit - Other
887,emergency service,Yes
887,condition,Heart Failure
887,measure code,HF-3
887,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
887,score,89%
887,sample,19 patients
887,stateavg,AL_HF-3
888,provider number,10045
888,hospital name,FAYETTE MEDICAL CENTER
888,address1,1653 TEMPLE AVENUE NORTH
888,address2,""
888,address3,""
888,city,FAYETTE
888,state,AL
888,zip code,35555
888,county name,FAYETTE
888,phone number,2059325966
888,hospital type,Acute Care Hospitals
888,hospital owner,Voluntary non-profit - Other
888,emergency service,Yes
888,condition,Heart Failure
888,measure code,HF-4
888,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
888,score,100%
888,sample,16 patients
888,stateavg,AL_HF-4
889,provider number,10045
889,hospital name,FAYETTE MEDICAL CENTER
889,address1,1653 TEMPLE AVENUE NORTH
889,address2,""
889,address3,""
889,city,FAYETTE
889,state,AL
889,zip code,35555
889,county name,FAYETTE
889,phone number,2059325966
889,hospital type,Acute Care Hospitals
889,hospital owner,Voluntary non-profit - Other
889,emergency service,Yes
889,condition,Pneumonia
889,measure code,PN-2
889,measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
889,score,85%
889,sample,117 patients
889,stateavg,AL_PN-2
890,provider number,10045
890,hospital name,FAYETTE MEDICAL CENTER
890,address1,1653 TEMPLE AVENUE NORTH
890,address2,""
890,address3,""
890,city,FAYETTE
890,state,AL
890,zip code,35555
890,county name,FAYETTE
890,phone number,2059325966
890,hospital type,Acute Care Hospitals
890,hospital owner,Voluntary non-profit - Other
890,emergency service,Yes
890,condition,Pneumonia
890,measure code,PN-3B
890,measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
890,score,100%
890,sample,41 patients
890,stateavg,AL_PN-3B
891,provider number,10045
891,hospital name,FAYETTE MEDICAL CENTER
891,address1,1653 TEMPLE AVENUE NORTH
891,address2,""
891,address3,""
891,city,FAYETTE
891,state,AL
891,zip code,35555
891,county name,FAYETTE
891,phone number,2059325966
891,hospital type,Acute Care Hospitals
891,hospital owner,Voluntary non-profit - Other
891,emergency service,Yes
891,condition,Pneumonia
891,measure code,PN-4
891,measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling
891,score,100%
891,sample,34 patients
891,stateavg,AL_PN-4
892,provider number,10045
892,hospital name,FAYETTE MEDICAL CENTER
892,address1,1653 TEMPLE AVENUE NORTH
892,address2,""
892,address3,""
892,city,FAYETTE
892,state,AL
892,zip code,35555
892,county name,FAYETTE
892,phone number,2059325966
892,hospital type,Acute Care Hospitals
892,hospital owner,Voluntary non-profit - Other
892,emergency service,Yes
892,condition,Pneumonia
892,measure code,PN-5C
892,measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
892,score,97%
892,sample,109 patients
892,stateavg,AL_PN-5C
893,provider number,10045
893,hospital name,FAYETTE MEDICAL CENTER
893,address1,1653 TEMPLE AVENUE NORTH
893,address2,""
893,address3,""
893,city,FAYETTE
893,state,AL
893,zip code,35555
893,county name,FAYETTE
893,phone number,2059325966
893,hospital type,Acute Care Hospitals
893,hospital owner,Voluntary non-profit - Other
893,emergency service,Yes
893,condition,Pneumonia
893,measure code,PN-6
893,measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
893,score,87%
893,sample,79 patients
893,stateavg,AL_PN-6
894,provider number,10045
894,hospital name,FAYETTE MEDICAL CENTER
894,address1,1653 TEMPLE AVENUE NORTH
894,address2,""
894,address3,""
894,city,FAYETTE
894,state,AL
894,zip code,35555
894,county name,FAYETTE
894,phone number,2059325966
894,hospital type,Acute Care Hospitals
894,hospital owner,Voluntary non-profit - Other
894,emergency service,Yes
894,condition,Pneumonia
894,measure code,PN-7
894,measure name,Pneumonia Patients Assessed and Given Influenza Vaccination
894,score,87%
894,sample,86 patients
894,stateavg,AL_PN-7
895,provider number,10045
895,hospital name,FAYETTE MEDICAL CENTER
895,address1,1653 TEMPLE AVENUE NORTH
895,address2,""
895,address3,""
895,city,FAYETTE
895,state,AL
895,zip code,35555
895,county name,FAYETTE
895,phone number,2059325966
895,hospital type,Acute Care Hospitals
895,hospital owner,Voluntary non-profit - Other
895,emergency service,Yes
895,condition,Surgical Infection Prevention
895,measure code,SCIP-CARD-2
895,measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
895,score,""
895,sample,0 patients
895,stateavg,AL_SCIP-CARD-2
896,provider number,10045
896,hospital name,FAYETTE MEDICAL CENTER
896,address1,1653 TEMPLE AVENUE NORTH
896,address2,""
896,address3,""
896,city,FAYETTE
896,state,AL
896,zip code,35555
896,county name,FAYETTE
896,phone number,2059325966
896,hospital type,Acute Care Hospitals
896,hospital owner,Voluntary non-profit - Other
896,emergency service,Yes
896,condition,Surgical Infection Prevention
896,measure code,SCIP-INF-1
896,measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
896,score,""
896,sample,0 patients
896,stateavg,AL_SCIP-INF-1
897,provider number,10045
897,hospital name,FAYETTE MEDICAL CENTER
897,address1,1653 TEMPLE AVENUE NORTH
897,address2,""
897,address3,""
897,city,FAYETTE
897,state,AL
897,zip code,35555
897,county name,FAYETTE
897,phone number,2059325966
897,hospital type,Acute Care Hospitals
897,hospital owner,Voluntary non-profit - Other
897,emergency service,Yes
897,condition,Surgical Infection Prevention
897,measure code,SCIP-INF-2
897,measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection
897,score,""
897,sample,0 patients
897,stateavg,AL_SCIP-INF-2
898,provider number,10045
898,hospital name,FAYETTE MEDICAL CENTER
898,address1,1653 TEMPLE AVENUE NORTH
898,address2,""
898,address3,""
898,city,FAYETTE
898,state,AL
898,zip code,35555
898,county name,FAYETTE
898,phone number,2059325966
898,hospital type,Acute Care Hospitals
898,hospital owner,Voluntary non-profit - Other
898,emergency service,Yes
898,condition,Surgical Infection Prevention
898,measure code,SCIP-INF-3
898,measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
898,score,""
898,sample,0 patients
898,stateavg,AL_SCIP-INF-3
899,provider number,10045
899,hospital name,FAYETTE MEDICAL CENTER
899,address1,1653 TEMPLE AVENUE NORTH
899,address2,""
899,address3,""
899,city,FAYETTE
899,state,AL
899,zip code,35555
899,county name,FAYETTE
899,phone number,2059325966
899,hospital type,Acute Care Hospitals
899,hospital owner,Voluntary non-profit - Other
899,emergency service,Yes
899,condition,Surgical Infection Prevention
899,measure code,SCIP-INF-4
899,measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
899,score,""
899,sample,0 patients
899,stateavg,AL_SCIP-INF-4
900,provider number,10045
900,hospital name,FAYETTE MEDICAL CENTER
900,address1,1653 TEMPLE AVENUE NORTH
900,address2,""
900,address3,""
900,city,FAYETTE
900,state,AL
900,zip code,35555
900,county name,FAYETTE
900,phone number,2059325966
900,hospital type,Acute Care Hospitals
900,hospital owner,Voluntary non-profit - Other
900,emergency service,Yes
900,condition,Surgical Infection Prevention
900,measure code,SCIP-INF-6
900,measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
900,score,100%
900,sample,7 patients
900,stateavg,AL_SCIP-INF-6
901,provider number,10045
901,hospital name,FAYETTE MEDICAL CENTER
901,address1,1653 TEMPLE AVENUE NORTH
901,address2,""
901,address3,""
901,city,FAYETTE
901,state,AL
901,zip code,35555
901,county name,FAYETTE
901,phone number,2059325966
901,hospital type,Acute Care Hospitals
901,hospital owner,Voluntary non-profit - Other
901,emergency service,Yes
901,condition,Surgical Infection Prevention
901,measure code,SCIP-VTE-1
901,measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
901,score,100%
901,sample,3 patients
901,stateavg,AL_SCIP-VTE-1
902,provider number,10045
902,hospital name,FAYETTE MEDICAL CENTER
902,address1,1653 TEMPLE AVENUE NORTH
902,address2,""
902,address3,""
902,city,FAYETTE
902,state,AL
902,zip code,35555
902,county name,FAYETTE
902,phone number,2059325966
902,hospital type,Acute Care Hospitals
902,hospital owner,Voluntary non-profit - Other
902,emergency service,Yes
902,condition,Surgical Infection Prevention
902,measure code,SCIP-VTE-2
902,measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
902,score,100%
902,sample,3 patients
902,stateavg,AL_SCIP-VTE-2
903,provider number,10046
903,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
903,address1,600 SOUTH THIRD STREET
903,address2,""
903,address3,""
903,city,GADSDEN
903,state,AL
903,zip code,35901
903,county name,ETOWAH
903,phone number,2565435200
903,hospital type,Acute Care Hospitals
903,hospital owner,Proprietary
903,emergency service,Yes
903,condition,Children&#8217;s Asthma Care
903,measure code,CAC-1
903,measure name,Children Who Received Reliever Medication While Hospitalized for Asthma
903,score,100%
903,sample,4 patients
903,stateavg,AL_CAC-1
904,provider number,10046
904,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
904,address1,600 SOUTH THIRD STREET
904,address2,""
904,address3,""
904,city,GADSDEN
904,state,AL
904,zip code,35901
904,county name,ETOWAH
904,phone number,2565435200
904,hospital type,Acute Care Hospitals
904,hospital owner,Proprietary
904,emergency service,Yes
904,condition,Children&#8217;s Asthma Care
904,measure code,CAC-2
904,measure name,Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma
904,score,100%
904,sample,4 patients
904,stateavg,AL_CAC-2
905,provider number,10046
905,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
905,address1,600 SOUTH THIRD STREET
905,address2,""
905,address3,""
905,city,GADSDEN
905,state,AL
905,zip code,35901
905,county name,ETOWAH
905,phone number,2565435200
905,hospital type,Acute Care Hospitals
905,hospital owner,Proprietary
905,emergency service,Yes
905,condition,Children&#8217;s Asthma Care
905,measure code,CAC-3
905,measure name,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma
905,score,100%
905,sample,4 patients
905,stateavg,AL_CAC-3
906,provider number,10046
906,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
906,address1,600 SOUTH THIRD STREET
906,address2,""
906,address3,""
906,city,GADSDEN
906,state,AL
906,zip code,35901
906,county name,ETOWAH
906,phone number,2565435200
906,hospital type,Acute Care Hospitals
906,hospital owner,Proprietary
906,emergency service,Yes
906,condition,Heart Attack
906,measure code,AMI-1
906,measure name,Heart Attack Patients Given Aspirin at Arrival
906,score,100%
906,sample,126 patients
906,stateavg,AL_AMI-1
907,provider number,10046
907,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
907,address1,600 SOUTH THIRD STREET
907,address2,""
907,address3,""
907,city,GADSDEN
907,state,AL
907,zip code,35901
907,county name,ETOWAH
907,phone number,2565435200
907,hospital type,Acute Care Hospitals
907,hospital owner,Proprietary
907,emergency service,Yes
907,condition,Heart Attack
907,measure code,AMI-2
907,measure name,Heart Attack Patients Given Aspirin at Discharge
907,score,100%
907,sample,145 patients
907,stateavg,AL_AMI-2
908,provider number,10046
908,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
908,address1,600 SOUTH THIRD STREET
908,address2,""
908,address3,""
908,city,GADSDEN
908,state,AL
908,zip code,35901
908,county name,ETOWAH
908,phone number,2565435200
908,hospital type,Acute Care Hospitals
908,hospital owner,Proprietary
908,emergency service,Yes
908,condition,Heart Attack
908,measure code,AMI-3
908,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
908,score,100%
908,sample,25 patients
908,stateavg,AL_AMI-3
909,provider number,10046
909,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
909,address1,600 SOUTH THIRD STREET
909,address2,""
909,address3,""
909,city,GADSDEN
909,state,AL
909,zip code,35901
909,county name,ETOWAH
909,phone number,2565435200
909,hospital type,Acute Care Hospitals
909,hospital owner,Proprietary
909,emergency service,Yes
909,condition,Heart Attack
909,measure code,AMI-4
909,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
909,score,100%
909,sample,68 patients
909,stateavg,AL_AMI-4
910,provider number,10046
910,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
910,address1,600 SOUTH THIRD STREET
910,address2,""
910,address3,""
910,city,GADSDEN
910,state,AL
910,zip code,35901
910,county name,ETOWAH
910,phone number,2565435200
910,hospital type,Acute Care Hospitals
910,hospital owner,Proprietary
910,emergency service,Yes
910,condition,Heart Attack
910,measure code,AMI-5
910,measure name,Heart Attack Patients Given Beta Blocker at Discharge
910,score,100%
910,sample,125 patients
910,stateavg,AL_AMI-5
911,provider number,10046
911,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
911,address1,600 SOUTH THIRD STREET
911,address2,""
911,address3,""
911,city,GADSDEN
911,state,AL
911,zip code,35901
911,county name,ETOWAH
911,phone number,2565435200
911,hospital type,Acute Care Hospitals
911,hospital owner,Proprietary
911,emergency service,Yes
911,condition,Heart Attack
911,measure code,AMI-7A
911,measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
911,score,88%
911,sample,8 patients
911,stateavg,AL_AMI-7A
912,provider number,10046
912,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
912,address1,600 SOUTH THIRD STREET
912,address2,""
912,address3,""
912,city,GADSDEN
912,state,AL
912,zip code,35901
912,county name,ETOWAH
912,phone number,2565435200
912,hospital type,Acute Care Hospitals
912,hospital owner,Proprietary
912,emergency service,Yes
912,condition,Heart Attack
912,measure code,AMI-8A
912,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
912,score,100%
912,sample,16 patients
912,stateavg,AL_AMI-8A
913,provider number,10046
913,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
913,address1,600 SOUTH THIRD STREET
913,address2,""
913,address3,""
913,city,GADSDEN
913,state,AL
913,zip code,35901
913,county name,ETOWAH
913,phone number,2565435200
913,hospital type,Acute Care Hospitals
913,hospital owner,Proprietary
913,emergency service,Yes
913,condition,Heart Failure
913,measure code,HF-1
913,measure name,Heart Failure Patients Given Discharge Instructions
913,score,100%
913,sample,268 patients
913,stateavg,AL_HF-1
914,provider number,10046
914,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
914,address1,600 SOUTH THIRD STREET
914,address2,""
914,address3,""
914,city,GADSDEN
914,state,AL
914,zip code,35901
914,county name,ETOWAH
914,phone number,2565435200
914,hospital type,Acute Care Hospitals
914,hospital owner,Proprietary
914,emergency service,Yes
914,condition,Heart Failure
914,measure code,HF-2
914,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
914,score,100%
914,sample,350 patients
914,stateavg,AL_HF-2
915,provider number,10046
915,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
915,address1,600 SOUTH THIRD STREET
915,address2,""
915,address3,""
915,city,GADSDEN
915,state,AL
915,zip code,35901
915,county name,ETOWAH
915,phone number,2565435200
915,hospital type,Acute Care Hospitals
915,hospital owner,Proprietary
915,emergency service,Yes
915,condition,Heart Failure
915,measure code,HF-3
915,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
915,score,100%
915,sample,90 patients
915,stateavg,AL_HF-3
916,provider number,10046
916,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
916,address1,600 SOUTH THIRD STREET
916,address2,""
916,address3,""
916,city,GADSDEN
916,state,AL
916,zip code,35901
916,county name,ETOWAH
916,phone number,2565435200
916,hospital type,Acute Care Hospitals
916,hospital owner,Proprietary
916,emergency service,Yes
916,condition,Heart Failure
916,measure code,HF-4
916,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
916,score,100%
916,sample,85 patients
916,stateavg,AL_HF-4
917,provider number,10046
917,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
917,address1,600 SOUTH THIRD STREET
917,address2,""
917,address3,""
917,city,GADSDEN
917,state,AL
917,zip code,35901
917,county name,ETOWAH
917,phone number,2565435200
917,hospital type,Acute Care Hospitals
917,hospital owner,Proprietary
917,emergency service,Yes
917,condition,Pneumonia
917,measure code,PN-2
917,measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
917,score,99%
917,sample,239 patients
917,stateavg,AL_PN-2
918,provider number,10046
918,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
918,address1,600 SOUTH THIRD STREET
918,address2,""
918,address3,""
918,city,GADSDEN
918,state,AL
918,zip code,35901
918,county name,ETOWAH
918,phone number,2565435200
918,hospital type,Acute Care Hospitals
918,hospital owner,Proprietary
918,emergency service,Yes
918,condition,Pneumonia
918,measure code,PN-3B
918,measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
918,score,97%
918,sample,196 patients
918,stateavg,AL_PN-3B
919,provider number,10046
919,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
919,address1,600 SOUTH THIRD STREET
919,address2,""
919,address3,""
919,city,GADSDEN
919,state,AL
919,zip code,35901
919,county name,ETOWAH
919,phone number,2565435200
919,hospital type,Acute Care Hospitals
919,hospital owner,Proprietary
919,emergency service,Yes
919,condition,Pneumonia
919,measure code,PN-4
919,measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling
919,score,100%
919,sample,109 patients
919,stateavg,AL_PN-4
920,provider number,10046
920,hospital name,RIVERVIEW REGIONAL MEDICAL CENTER
920,address1,600 SOUTH THIRD STREET
920,address2,""
920,address3,""
920,city,GADSDEN
920,state,AL
920,zip code,35901
920,county name,ETOWAH
920,phone number,2565435200
920,hospital type,Acute Care Hospitals
